Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,9.30098e-17,0,-0.0047,0.0057,0,5.32907e-15,129.508,0.423362,0.0141733,-0.0189357
2,0,0,-0.0006,0.0015,60,0,111.801,0.0927874,0.013339,-0.0189989
3,-0,0,-0.0006,0.0015,120,0,111.801,0.0927874,0.0132176,-0.0184534
4,-0,-0,-0.0006,0.0015,180,0,111.801,0.0927874,0.0132189,-0.0188191
5,-0,-0,-0.0006,0.0015,240,0,111.801,0.0927874,0.013344,-0.0195246
6,0,-0,-0.0006,0.0015,300,0,111.801,0.0927874,0.0138903,-0.0190369
7,0.0174524,-8.65731e-18,0.0143,0.0016,-2.84217e-14,1,6.38416,0.824482,0.00949731,-0.0193779
8,0.0087262,0.0151142,0.007,0.0169,60,1,67.5006,1.04811,0.0118094,-0.022401
9,-0.0087262,0.0151142,-0.0038,0.0125,120,1,106.909,0.748604,0.0156303,-0.0218485
10,-0.0174524,-1.52574e-09,-0.0156,0.001,180,1,176.332,0.895693,0.0173316,-0.0189149
11,-0.0087262,-0.0151142,-0.0041,-0.0103,240,1,248.295,0.635198,0.0152393,-0.0155786
12,0.0087262,-0.0151142,0.0108,-0.0103,300,1,316.357,0.855008,0.0115317,-0.0157481
13,0.0348995,-1.7312e-17,0.0297,0.0012,-2.84217e-14,2,2.31372,1.7033,0.00575381,-0.018792
14,0.0174497,0.0302239,0.015,0.0319,60,2,64.8162,2.02013,0.00995926,-0.0265675
15,-0.0174497,0.0302239,-0.0227,0.0318,120,2,125.521,2.23913,0.018119,-0.0259045
16,-0.0348995,-3.05101e-09,-0.0305,0.0009,180,2,178.31,1.74854,0.0215384,-0.01871
17,-0.0174497,-0.0302239,-0.016,-0.0293,240,2,241.362,1.91315,0.0179389,-0.0122665
18,0.0174497,-0.0302239,0.0144,-0.0299,300,2,295.716,1.90187,0.00965401,-0.0119653
19,0.052336,-2.59614e-17,0.0522,0.0018,-2.84217e-14,3,1.97493,2.99395,0.00143289,-0.0188545
20,0.026168,0.0453243,0.0224,0.0476,60,3,64.7989,3.01558,0.00763489,-0.0299871
21,-0.026168,0.0453243,-0.0219,0.0458,120,3,115.556,2.90993,0.0197293,-0.0293978
