Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.0287426,0.0287426,-0.0464064,-0.0168368,2.32961,45.0,295.453,269.781,278.453,306.141,1149.828,25.695,23.463,24.217,26.625,23.463
2,-0.0287426,0.0287426,-0.0357598,-0.0162791,2.32961,135.0,293.078,273.438,281.859,303.406,1151.781,25.446,23.74,24.472,26.342,23.74
3,-0.0287426,-0.0287426,-0.0358606,-0.00460929,2.32961,225.0,297.734,277.578,279.672,300.969,1155.953,25.757,24.013,24.194,26.036,24.013
4,0.0287426,-0.0287426,-0.046992,-0.00608228,2.32961,315.0,299.734,273.484,276.141,304.094,1153.453,25.986,23.71,23.94,26.364,23.71
5,0.0862265,0.0287422,-0.0570696,-0.0163952,5.21485,18.4349,297.422,265.953,274.125,308.031,1145.531,25.964,23.217,23.93,26.89,23.217
6,0.0287422,0.0862265,-0.0465488,-0.0272684,5.21485,71.565,290.688,265.859,279.656,308.094,1144.297,25.403,23.233,24.439,26.924,23.233
7,-0.0287422,0.0862265,-0.0359604,-0.027117,5.21485,108.435,288.062,268.875,283.0,304.984,1144.921,25.16,23.484,24.718,26.638,23.484
8,-0.0862265,0.0287421,-0.0246885,-0.0157554,5.21485,161.565,289.078,275.594,283.953,298.797,1147.422,25.194,24.019,24.747,26.041,24.019
9,-0.0862265,-0.0287421,-0.0247824,-0.00446137,5.21485,198.435,292.812,279.0,281.141,295.797,1148.75,25.49,24.287,24.474,25.749,24.287
10,-0.0287421,-0.0862265,-0.0365077,0.00631602,5.21485,251.565,299.125,278.438,274.547,295.766,1147.876,26.059,24.257,23.918,25.766,23.918
11,0.0287421,-0.0862265,-0.0476009,0.00598754,5.21485,288.435,302.281,275.266,271.516,299.156,1148.219,26.326,23.973,23.647,26.054,23.647
12,0.0862265,-0.0287422,-0.0576847,-0.00565324,5.21485,341.565,302.609,270.406,272.625,306.906,1152.546,26.256,23.462,23.654,26.629,23.462
13,0.0862265,0.0862265,-0.0581368,-0.0275615,7.00423,45.0,294.172,262.906,276.656,312.0,1145.734,25.675,22.947,24.147,27.231,22.947
14,-0.0862265,0.0862265,-0.0246276,-0.0267929,7.00423,135.0,284.031,270.75,285.266,300.062,1140.109,24.913,23.748,25.021,26.319,23.748
15,-0.0862265,-0.0862265,-0.0252761,0.0060898,7.00423,225.0,294.234,280.125,276.328,291.078,1141.765,25.77,24.534,24.202,25.494,24.202
16,0.0862265,-0.0862266,-0.0579967,0.00498291,7.00423,315.0,302.312,269.656,266.469,299.828,1138.265,26.559,23.69,23.41,26.341,23.41
17,0.143711,0.0287421,-0.0684033,-0.0167184,8.42744,11.3099,297.547,259.812,268.25,308.062,1133.671,26.246,22.918,23.662,27.174,22.918
