Idx,elevation,azimuth,X,Y,x_light,y_light,
1,45,0,0.707107,0,-0.192979,-0.0109401,
2,45,0,0.707107,0,-0.192333,-0.0111571,
3,45,0,0.707107,0,-0.192481,-0.0111082,
4,45,0,0.707107,0,-0.192593,-0.0115309,
5,45,0,0.707107,0,-0.192764,-0.011173,
6,45.8161,0,0.717107,0,-0.195287,-0.0119262,
7,45.8161,0,0.717107,0,-0.19477,-0.0112304,
8,45.8161,0,0.717107,0,-0.195136,-0.0116064,
9,45.8161,0,0.717107,0,-0.195222,-0.0110232,
10,45.8161,0,0.717107,0,-0.195261,-0.0112144,
11,46.6444,0,0.727107,0,-0.196878,-0.0109803,
12,46.6444,0,0.727107,0,-0.197531,-0.0117833,
13,46.6444,0,0.727107,0,-0.198109,-0.0108696,
14,46.6444,0,0.727107,0,-0.197543,-0.0110151,
15,46.6444,0,0.727107,0,-0.197554,-0.0115205,
16,47.4855,0,0.737107,0,-0.199648,-0.0114186,
17,47.4855,0,0.737107,0,-0.200101,-0.0114947,
18,47.4855,0,0.737107,0,-0.199635,-0.0111639,
19,47.4855,0,0.737107,0,-0.200255,-0.0115896,
20,47.4855,0,0.737107,0,-0.199736,-0.0112302,
21,48.3404,0,0.747107,0,-0.202486,-0.0109293,
22,48.3404,0,0.747107,0,-0.202282,-0.0112175,
23,48.3404,0,0.747107,0,-0.203132,-0.010188,
24,48.3404,0,0.747107,0,-0.202591,-0.0106809,
25,48.3404,0,0.747107,0,-0.203236,-0.0109752,
26,49.2098,0,0.757107,0,-0.205864,-0.0104969,
27,49.2098,0,0.757107,0,-0.204944,-0.0107212,
28,49.2098,0,0.757107,0,-0.204978,-0.0110727,
29,49.2098,0,0.757107,0,-0.204991,-0.0106164,
30,49.2098,0,0.757107,0,-0.205072,-0.0106811,
31,50.0948,0,0.767107,0,-0.207289,-0.010568,
32,50.0948,0,0.767107,0,-0.207955,-0.0104819,
33,50.0948,0,0.767107,0,-0.207864,-0.0104045,
34,50.0948,0,0.767107,0,-0.207296,-0.0102374,
35,50.0948,0,0.767107,0,-0.208122,-0.0105438,
36,50.9964,0,0.777107,0,-0.210129,-0.011163,
37,50.9964,0,0.777107,0,-0.210429,-0.0110176,
38,50.9964,0,0.777107,0,-0.209671,-0.010199,
39,50.9964,0,0.777107,0,-0.210766,-0.00998222,
40,50.9964,0,0.777107,0,-0.21076,-0.0105004,
41,51.9159,0,0.787107,0,-0.212755,-0.0104611,
42,51.9159,0,0.787107,0,-0.212992,-0.0100094,
43,51.9159,0,0.787107,0,-0.21348,-0.0102163,
44,51.9159,0,0.787107,0,-0.213553,-0.0104036,
45,51.9159,0,0.787107,0,-0.213366,-0.0102311,
46,52.8547,0,0.797107,0,-0.215869,-0.010902,
47,52.8547,0,0.797107,0,-0.215721,-0.010786,
48,52.8547,0,0.797107,0,-0.215789,-0.00997566,
49,52.8547,0,0.797107,0,-0.216116,-0.0104957,
50,52.8547,0,0.797107,0,-0.215428,-0.0100605,
