Idx,elevation,azimuth,X,Y,x_light,y_light
1,45,0,0.707107,0,-0.214036,0.0254205
2,45,0,0.707107,0,-0.214165,0.0239793
3,45,0,0.707107,0,-0.213871,0.024875
4,45,0,0.707107,0,-0.213578,0.024177
5,45,0,0.707107,0,-0.214042,0.0251644
6,45.8161,0,0.717107,0,-0.216317,0.025441
7,45.8161,0,0.717107,0,-0.217129,0.0247356
8,45.8161,0,0.717107,0,-0.21715,0.02538
9,45.8161,0,0.717107,0,-0.216663,0.0248905
10,45.8161,0,0.717107,0,-0.217314,0.0243026
11,46.6444,0,0.727107,0,-0.219436,0.0245254
12,46.6444,0,0.727107,0,-0.219447,0.0247938
13,46.6444,0,0.727107,0,-0.219923,0.0258625
14,46.6444,0,0.727107,0,-0.220097,0.0245322
15,46.6444,0,0.727107,0,-0.219687,0.0249896
16,47.4855,0,0.737107,0,-0.222456,0.0253354
17,47.4855,0,0.737107,0,-0.222432,0.0260493
18,47.4855,0,0.737107,0,-0.223558,0.02374
19,47.4855,0,0.737107,0,-0.222899,0.0247407
20,47.4855,0,0.737107,0,-0.222317,0.0246916
21,48.3404,0,0.747107,0,-0.226406,0.0247911
22,48.3404,0,0.747107,0,-0.225907,0.0254257
23,48.3404,0,0.747107,0,-0.225104,0.0248726
24,48.3404,0,0.747107,0,-0.225942,0.0238432
25,48.3404,0,0.747107,0,-0.224904,0.0248713
26,49.2098,0,0.757107,0,-0.228679,0.0248996
27,49.2098,0,0.757107,0,-0.228616,0.0246884
28,49.2098,0,0.757107,0,-0.22818,0.0247852
29,49.2098,0,0.757107,0,-0.228038,0.0249272
30,49.2098,0,0.757107,0,-0.228387,0.0249403
31,50.0948,0,0.767107,0,-0.230791,0.0245909
32,50.0948,0,0.767107,0,-0.231605,0.024479
33,50.0948,0,0.767107,0,-0.231588,0.0244382
34,50.0948,0,0.767107,0,-0.231134,0.0251541
35,50.0948,0,0.767107,0,-0.232753,0.0254223
36,50.9964,0,0.777107,0,-0.234644,0.0250343
37,50.9964,0,0.777107,0,-0.235128,0.0245388
38,50.9964,0,0.777107,0,-0.234631,0.0250514
39,50.9964,0,0.777107,0,-0.234717,0.0247696
40,50.9964,0,0.777107,0,-0.234473,0.0253638
41,51.9159,0,0.787107,0,-0.23851,0.0250178
42,51.9159,0,0.787107,0,-0.238399,0.0251912
43,51.9159,0,0.787107,0,-0.237707,0.024905
44,51.9159,0,0.787107,0,-0.238054,0.0248111
45,51.9159,0,0.787107,0,-0.238772,0.02559
46,52.8547,0,0.797107,0,-0.241542,0.0253621
