id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.2816,0.256,NaN,NaN
1,NaN,NaN,-0.256,0.256,NaN,NaN
2,NaN,NaN,-0.2304,0.256,NaN,NaN
3,NaN,NaN,-0.2048,0.256,NaN,NaN
4,NaN,NaN,-0.1792,0.256,NaN,NaN
5,NaN,NaN,-0.1536,0.256,NaN,NaN
6,NaN,NaN,-0.128,0.256,NaN,NaN
7,NaN,NaN,-0.1024,0.256,NaN,NaN
8,NaN,NaN,-0.0768,0.256,NaN,NaN
9,NaN,NaN,-0.0512,0.256,NaN,NaN
10,NaN,NaN,-0.0256,0.256,NaN,NaN
11,NaN,NaN,0.0,0.256,NaN,NaN
12,NaN,NaN,0.0256,0.256,NaN,NaN
13,NaN,NaN,0.0512,0.256,NaN,NaN
14,NaN,NaN,0.0768,0.256,NaN,NaN
15,NaN,NaN,0.1024,0.256,NaN,NaN
16,NaN,NaN,0.128,0.256,NaN,NaN
17,NaN,NaN,0.1536,0.256,NaN,NaN
18,NaN,NaN,0.1792,0.256,NaN,NaN
19,NaN,NaN,0.2048,0.256,NaN,NaN
20,NaN,NaN,-0.2816,0.2304,NaN,NaN
21,NaN,NaN,-0.256,0.2304,NaN,NaN
22,NaN,NaN,-0.2304,0.2304,NaN,NaN
23,NaN,NaN,-0.2048,0.2304,NaN,NaN
24,NaN,NaN,-0.1792,0.2304,NaN,NaN
25,0.41061,-0.81603,-0.1536,0.2304,65.9954,296.7106
26,0.30441,-0.82323,-0.128,0.2304,61.3672,290.2931
27,0.20663,-0.83339,-0.1024,0.2304,59.1624,283.9251
28,0.11228,-0.83557,-0.0768,0.2304,57.4668,277.6533
29,0.01818,-0.83764,-0.0512,0.2304,56.9124,271.2433
30,-0.07183,-0.83748,-0.0256,0.2304,57.1987,265.0978
31,-0.16586,-0.83209,0.0,0.2304,58.0445,258.727
32,-0.25537,-0.82607,0.0256,0.2304,59.8418,252.8216
33,-0.34528,-0.81742,0.0512,0.2304,62.5424,247.1007
34,-0.44294,-0.8142,0.0768,0.2304,67.9545,241.453
35,NaN,NaN,0.1024,0.2304,NaN,NaN
36,NaN,NaN,0.128,0.2304,NaN,NaN
37,NaN,NaN,0.1536,0.2304,NaN,NaN
38,NaN,NaN,0.1792,0.2304,NaN,NaN
39,NaN,NaN,0.2048,0.2304,NaN,NaN
