id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
31,0.23365,-0.88956,284.7168,66.8871,-0.0512,0.256,0
32,0.1459,-0.89685,279.24,65.3181,-0.0256,0.256,1
35,-0.09588,-0.90333,263.9413,65.2857,0.0512,0.256,2
36,-0.17797,-0.8975,258.784,66.2022,0.0768,0.256,3
37,-0.2595,-0.8858,253.6718,67.3729,0.1024,0.256,4
38,-0.34059,-0.87263,248.6792,69.5113,0.128,0.256,5
51,0.48866,-0.78784,301.8094,67.9844,-0.128,0.2304,6
52,0.40235,-0.81175,296.3657,64.9574,-0.1024,0.2304,7
53,0.31579,-0.82677,290.9047,62.2548,-0.0768,0.2304,8
467,0.33766,0.78333,66.6812,58.5402,-0.0768,-0.2304,9
468,0.24161,0.80098,73.2144,56.7856,-0.0512,-0.2304,10
30,0.30885,-0.8788,289.3638,68.6686,-0.0768,0.256,11
33,0.06337,-0.90612,274.0005,65.276,0.0,0.256,12
34,-0.01292,-0.90729,269.1842,65.146,0.0256,0.256,13
181,-0.81217,-0.36001,203.9062,62.671,0.256,0.1024,14
180,-0.74695,-0.38095,207.0219,56.9805,0.2304,0.1024,15
179,-0.67396,-0.3946,210.3487,51.3505,0.2048,0.1024,16
178,-0.59363,-0.40789,214.4934,46.0757,0.1792,0.1024,17
177,-0.50914,-0.42106,219.5908,41.3527,0.1536,0.1024,18
54,0.22931,-0.83841,285.2966,60.3662,-0.0512,0.2304,19
55,0.14285,-0.84595,279.5847,59.0845,-0.0256,0.2304,20
56,0.05854,-0.85251,273.9282,58.7065,0.0,0.2304,21
466,0.42239,0.77463,61.3973,61.9219,-0.1024,-0.2304,22
470,0.07166,0.80408,84.9072,53.8298,0.0,-0.2304,23
469,0.15752,0.80452,78.922,55.0643,-0.0256,-0.2304,24
498,-0.33414,0.85705,111.2994,66.9089,0.128,-0.256,25
497,-0.25742,0.86153,106.6358,64.0486,0.1024,-0.256,26
496,-0.17213,0.87168,101.1704,62.6869,0.0768,-0.256,27
182,-0.86765,-0.33727,201.2419,68.5749,0.2816,0.1024,28
162,0.86789,-0.35256,337.8917,69.5154,-0.2304,0.1024,29
163,0.78371,-0.38297,333.957,60.7243,-0.2048,0.1024,30
175,-0.32627,-0.44395,233.6869,33.4321,0.1024,0.1024,31
176,-0.41815,-0.4335,226.0326,37.0352,0.128,0.1024,32
130,-0.39895,-0.60585,236.6352,46.5027,0.128,0.1536,33
129,-0.31089,-0.61764,243.2815,43.7466,0.1024,0.1536,34
57,-0.02371,-0.85396,268.4096,58.6813,0.0256,0.2304,35
58,-0.10646,-0.84869,262.8501,58.7974,0.0512,0.2304,36
465,0.50089,0.76152,56.6651,65.7113,-0.128,-0.2304,37
231,0.88598,-0.10874,353.0028,63.2054,-0.2304,0.0256,38
471,-0.01465,0.81027,91.0358,54.1353,0.0256,-0.2304,39
472,-0.09857,0.80389,96.9905,54.0872,0.0512,-0.2304,40
476,-0.44243,0.77713,119.6534,63.4117,0.1536,-0.2304,41
477,-0.51283,0.76599,123.8023,67.1923,0.1792,-0.2304,42
495,-0.0923,0.87244,96.0392,61.3194,0.0512,-0.256,43
185,0.87327,-0.27411,342.5735,66.2455,-0.2304,0.0768,44
158,-0.79688,-0.43912,208.8569,65.4859,0.256,0.128,45
164,0.70562,-0.39928,330.4963,54.1698,-0.1792,0.1024,46
174,-0.22773,-0.45043,243.1796,30.3132,0.0768,0.1024,47
132,-0.56559,-0.58042,225.7414,54.1369,0.1792,0.1536,48
131,-0.48672,-0.59406,230.6719,50.1734,0.1536,0.1536,49
128,-0.2171,-0.62508,250.8471,41.4303,0.0768,0.1536,50
127,-0.12259,-0.63214,259.0249,40.0845,0.0512,0.1536,51
126,-0.03341,-0.63694,266.9974,39.6291,0.0256,0.1536,52
59,-0.19025,-0.84535,257.3166,60.0537,0.0768,0.2304,53
455,-0.61699,0.68197,132.1362,66.8753,0.2048,-0.2048,54
232,0.80624,-0.12053,351.4975,54.6071,-0.2048,0.0256,55
228,-0.88824,-0.17743,191.2964,64.9296,0.2816,0.0512,56
197,-0.23404,-0.35324,236.4734,25.0708,0.0768,0.0768,57
473,-0.18966,0.80466,103.2627,55.7622,0.0768,-0.2304,58
475,-0.36105,0.78638,114.6612,59.9174,0.128,-0.2304,59
489,0.41136,0.83834,63.8636,69.0393,-0.1024,-0.256,60
494,-0.01148,0.87881,90.7484,61.5082,0.0256,-0.256,61
186,0.79458,-0.29566,339.59,57.9737,-0.2048,0.0768,62
157,-0.73482,-0.46341,212.2373,60.3126,0.2304,0.128,63
165,0.62349,-0.40833,326.7788,48.1849,-0.1536,0.1024,64
173,-0.12924,-0.45487,254.1388,28.221,0.0512,0.1024,65
133,-0.64592,-0.56127,220.9889,58.8381,0.2048,0.1536,66
141,0.69371,-0.48332,325.1344,57.7231,-0.1792,0.128,67
142,0.61351,-0.49854,320.9026,52.235,-0.1536,0.128,68
143,0.52775,-0.5077,316.1093,47.0805,-0.128,0.128,69
125,0.05922,-0.63382,275.3378,39.5373,0.0,0.1536,70
123,0.24638,-0.62535,291.5038,42.2321,-0.0512,0.1536,71
60,-0.28192,-0.82822,251.2018,61.0316,0.1024,0.2304,72
454,-0.54117,0.69307,127.9838,61.5609,0.1792,-0.2048,73
233,0.72751,-0.12813,350.0114,47.6214,-0.1792,0.0256,74
227,-0.83538,-0.19012,192.8213,58.9526,0.256,0.0512,75
198,-0.33627,-0.34647,225.8559,28.87,0.1024,0.0768,76
196,-0.13195,-0.36118,249.9312,22.6144,0.0512,0.0768,77
474,-0.27669,0.79924,109.0954,57.7555,0.1024,-0.2304,78
490,0.32927,0.85383,68.9114,66.2228,-0.0768,-0.256,79
493,0.073,0.87461,85.2288,61.3603,0.0,-0.256,80
187,0.71428,-0.31097,336.4735,51.1725,-0.1792,0.0768,81
156,-0.66419,-0.48118,215.9219,55.102,0.2048,0.128,82
166,0.53665,-0.42204,321.8173,43.0568,-0.128,0.1024,83
172,-0.03086,-0.45969,266.1594,27.4339,0.0256,0.1024,84
134,-0.7182,-0.53816,216.8449,63.8257,0.2304,0.1536,85
140,0.77684,-0.46078,329.3258,64.584,-0.2048,0.128,86
146,0.25394,-0.53884,295.2332,36.5611,-0.0512,0.128,87
144,0.4418,-0.5218,310.2541,43.1344,-0.1024,0.128,88
124,0.15274,-0.63119,283.6034,40.497,-0.0256,0.1536,89
122,0.3427,-0.61286,299.2131,44.6012,-0.0768,0.1536,90
61,-0.3609,-0.82015,246.2485,63.6428,0.128,0.2304,91
452,-0.37598,0.71418,117.7646,53.8138,0.128,-0.2048,92
453,-0.46547,0.70342,123.4936,57.5097,0.1536,-0.2048,93
234,0.65035,-0.13475,348.2942,41.6182,-0.1536,0.0256,94
235,0.56346,-0.13972,346.0734,35.4875,-0.128,0.0256,95
226,-0.76914,-0.20476,194.9075,52.7431,0.2304,0.0512,96
199,-0.4259,-0.33834,218.464,32.9519,0.128,0.0768,97
195,-0.03485,-0.36097,264.4854,21.2629,0.0256,0.0768,98
491,0.24169,0.86372,74.3671,63.7533,-0.0512,-0.256,99
492,0.15625,0.86993,79.8176,62.1104,-0.0256,-0.256,100
188,0.63643,-0.31713,333.5131,45.3217,-0.1536,0.0768,101
155,-0.57867,-0.49689,220.6519,49.7056,0.1792,0.128,102
167,0.45294,-0.43106,316.4178,38.7023,-0.1024,0.1024,103
171,0.06541,-0.46013,278.0907,27.6944,0.0,0.1024,104
135,-0.77518,-0.5157,213.6344,68.5988,0.256,0.1536,105
147,0.15797,-0.54341,286.2092,34.4652,-0.0256,0.128,106
145,0.34938,-0.52845,303.4703,39.309,-0.0768,0.128,107
