Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.29548,-0.84366,-0.075861,0.230552,63.3684,289.302,139.688,119.344,75.1875,86.7812,421.001,33.18,28.348,17.859,20.613,17.859
2,0.20253,-0.85519,-0.0512935,0.231665,61.5033,283.324,147.297,132.031,83.125,91.125,453.578,32.474,29.109,18.327,20.09,18.327
3,0.10964,-0.85794,-0.0245546,0.23045,59.8733,277.283,152.672,144.078,91.1719,94.4219,482.344,31.652,29.87,18.902,19.576,18.902
4,0.0207999,-0.86023,-0.000541625,0.230573,59.3707,271.385,151.656,150.094,94.9844,93.6875,490.422,30.924,30.605,19.368,19.103,19.103
5,-0.0650395,-0.8619,0.0245351,0.230953,59.8086,265.685,146.031,151.859,96.0781,90.0312,483.999,30.172,31.376,19.851,18.602,18.602
6,-0.15567,-0.85818,0.0506925,0.230903,60.7135,259.719,137.516,150.641,95.3281,84.7188,468.204,29.371,32.174,20.36,18.094,18.094
7,-0.24991,-0.8494,0.0776834,0.230561,62.3009,253.605,125.703,144.703,92.1094,76.9688,439.484,28.602,32.926,20.959,17.513,17.513
8,-0.34419,-0.83888,0.102844,0.230837,65.0593,247.692,108.406,130.953,83.5156,66.0625,388.937,27.872,33.669,21.473,16.985,16.985
9,-0.43345,-0.82129,0.128359,0.229847,68.2258,242.176,88.9844,113.047,72.3125,54.2031,328.547,27.084,34.408,22.01,16.498,16.498
10,0.58074,-0.723921,-0.15312,0.206571,68.1364,308.737,113.641,83.1719,54.9688,74.4531,326.235,34.834,25.494,16.849,22.822,16.849
11,0.31376,0.814839,-0.0764488,-0.204823,60.828,68.9404,98.1719,83.2031,127.453,147.359,456.187,21.52,18.239,27.939,32.302,18.239
12,0.3881,-0.83284,-0.102713,0.230605,66.7553,294.985,119.641,96.8594,61.0,74.3594,351.86,34.002,27.528,17.336,21.133,17.336
13,-0.30036,-0.30981,0.0771176,0.0765187,25.5632,225.887,234.547,271.047,234.828,198.891,939.313,24.97,28.856,25.0,21.174,21.174
14,-0.19083,-0.31637,0.0513583,0.0770615,21.6828,238.902,249.625,274.172,237.125,211.719,972.641,25.665,28.188,24.379,21.767,21.767
15,-0.83885,-0.338609,0.23072,0.103715,64.7713,201.982,84.2031,132.375,109.125,66.75,392.453,21.456,33.73,27.806,17.008,17.008
16,-0.76011,-0.355529,0.204687,0.102108,57.0502,205.067,117.266,175.172,144.484,93.7656,530.688,22.097,33.008,27.226,17.669,17.669
17,0.54331,-0.39122,-0.127167,0.102349,42.029,324.244,234.406,179.922,148.141,189.25,751.719,31.183,23.935,19.707,25.176,19.707
18,0.63489,-0.378651,-0.153569,0.10203,47.6659,329.188,214.25,155.938,128.391,173.25,671.829,31.891,23.211,19.111,25.788,19.111
19,0.72271,-0.36522,-0.179895,0.103602,54.0715,333.19,187.312,129.344,105.969,151.234,573.859,32.641,22.539,18.466,26.354,18.466
20,0.80269,-0.34814,-0.204672,0.10302,61.0374,336.553,148.125,97.5469,79.5938,120.188,445.454,33.253,21.898,17.868,26.981,17.868
21,0.40221,-0.75422,-0.103109,0.204534,58.7336,298.07,160.453,130.141,86.2344,105.672,482.5,33.255,26.972,17.872,21.901,17.872
22,0.49308,-0.7421,-0.128489,0.205162,62.9963,303.602,139.406,107.172,71.1406,91.4844,409.203,34.068,26.19,17.385,22.357,17.385
23,-0.26063,-0.77438,0.0771071,0.204328,54.7919,251.398,153.453,176.984,118.547,99.7656,548.75,27.964,32.252,21.603,18.181,18.181
24,0.40424,0.81168,-0.102593,-0.20556,65.0629,63.5254,82.9688,66.1562,102.297,124.0,375.422,22.1,17.622,27.249,33.029,17.622
25,0.218589,0.82197,-0.0503936,-0.205369,58.2703,75.1078,104.672,93.2969,143.281,157.016,498.266,21.007,18.724,28.756,31.512,18.724
26,-0.42751,0.8103,0.128453,-0.206112,66.3711,117.816,64.5938,83.1562,126.859,97.6094,372.218,17.354,22.341,34.082,26.224,17.354
27,-0.40527,-0.30238,0.102636,0.0770836,30.3742,216.727,221.656,270.344,233.328,188.25,913.578,24.262,29.592,25.54,20.606,20.606
28,-0.0799096,-0.31744,0.0252928,0.0764649,19.1076,255.87,266.797,278.172,240.891,226.656,1012.516,26.35,27.473,23.791,22.385,22.385
29,0.88666,-0.23832,-0.229046,0.0772894,66.6542,344.955,117.484,73.4062,63.2031,100.297,354.39,33.151,20.713,17.834,28.301,17.834
30,-0.68003,-0.36784,0.179449,0.102016,50.6368,208.41,144.688,205.547,169.297,116.094,635.626,22.763,32.338,26.635,18.265,18.265
31,0.447351,-0.40081,-0.102463,0.102883,36.9159,318.141,249.234,201.078,165.391,200.906,816.609,30.521,24.624,20.253,24.602,20.253
32,-0.0770801,-0.52709,0.025246,0.128798,32.1878,261.68,241.969,252.656,196.594,185.156,876.375,27.61,28.83,22.433,21.127,21.127
33,-0.18072,-0.519991,0.0509629,0.127561,33.4013,250.835,231.719,254.516,198.688,177.531,862.454,26.867,29.511,23.038,20.584,20.584
34,0.87791,-0.32724,-0.228902,0.102626,69.54,339.557,101.766,63.5938,52.0469,82.5312,299.938,33.929,21.202,17.353,27.516,17.353
35,0.30392,-0.7675,-0.0759332,0.204567,55.6376,291.603,178.359,152.172,101.391,116.875,548.797,32.5,27.728,18.475,21.297,18.475
36,-0.0718099,-0.78918,0.0253509,0.205117,52.4142,264.801,177.609,185.234,123.484,115.844,602.171,29.495,30.761,20.506,19.238,19.238
37,-0.1654,-0.7829,0.051326,0.204697,53.1474,258.071,170.219,186.438,124.812,110.641,592.11,28.748,31.487,21.079,18.686,18.686
38,-0.355841,-0.76653,0.10273,0.206277,57.6824,245.098,140.625,170.453,113.922,90.7656,515.766,27.265,33.049,22.088,17.598,17.598
39,-0.53353,0.70873,0.153451,-0.179496,62.5115,126.972,75.1094,102.094,147.016,107.719,431.938,17.389,23.636,34.036,24.939,17.389
40,0.126519,0.82375,-0.0252897,-0.20414,56.4506,81.2682,109.016,102.422,156.531,163.375,531.344,20.517,19.276,29.459,30.748,19.276
