,Panel,mean_error_boosted,standart_deviation_boosted
0,g01-0001,1.647136,0.899328
1,g01-0004,1.677593,0.887146
2,g01-0005,1.395839,0.745502
3,g01-0007,1.830152,1.018950
4,g01-0008,1.705128,1.012525
5,g02-0001,1.704882,1.080978
6,g02-0002,1.750816,0.915815
7,g02-0005,1.905665,0.985559
8,g02-0006,1.770998,1.074940
9,g02-0008,1.455743,0.860997
10,g02-0009,1.946297,1.006845
11,g02-0010,1.921581,1.042834
12,g02-0011,1.785717,0.972336
13,g02-0013,1.723745,1.083001
14,g02-0014,1.653283,0.926213
15,g02-0015,1.613365,1.023184
16,g03-0001,1.776286,1.081883
17,g03-0002,1.656061,0.891781
18,g03-0003,1.670436,0.900870
19,g03-0005,1.548130,0.754653
20,g03-0006,1.829610,1.057814
21,g03-0007,1.816290,1.024909
22,g03-0008,1.694792,1.043488
23,g03-0009,1.676188,0.907964
