,Panel,mean_error_unbiased,standart_deviation_unbiased,mean_error_linear_offsets,standart_deviation_linear_offsets,mean_error_all_offsets,standart_deviation_all_offsets
0,g01-0001,10.000863,3.015177,1.869427,1.125518,1.623223,0.912129
1,g01-0004,5.732175,1.267985,1.321514,0.717274,1.310705,0.737789
2,g01-0005,12.358058,1.762658,1.102947,0.634904,1.124342,0.554404
3,g01-0007,8.007631,1.169052,1.268375,0.631113,1.249641,0.615435
4,g01-0008,9.751848,2.082476,1.389005,0.928631,1.353378,0.910302
5,g02-0001,8.692731,1.465670,1.004675,0.634315,0.902531,0.597615
6,g02-0002,4.018830,1.293572,1.262453,0.690445,1.216043,0.684275
7,g02-0005,13.340088,2.014038,1.066199,0.722163,1.068534,0.721383
8,g02-0006,11.085986,2.087952,1.299868,0.816199,1.293148,0.817515
9,g02-0008,1.958269,1.025141,1.136434,0.703345,1.132409,0.673980
10,g02-0009,14.605968,2.451517,1.264173,0.878322,1.262919,0.877245
11,g02-0010,19.697908,4.104451,1.262427,0.621307,1.205621,0.613333
12,g02-0011,16.693270,2.985583,1.222019,0.781498,1.203567,0.768222
13,g02-0013,5.704505,1.679444,1.467212,0.873415,1.394148,0.860499
14,g02-0014,4.638850,1.858157,1.509492,1.292512,1.483370,1.287705
15,g02-0015,5.104813,1.466726,1.417361,0.852324,1.370383,0.852912
16,g03-0001,12.570483,2.287776,1.395349,0.827034,1.361024,0.793029
17,g03-0002,12.664111,1.858115,1.457200,0.930267,1.239947,0.809141
18,g03-0003,2.492930,1.027058,1.209664,0.736891,1.214071,0.687412
19,g03-0005,13.716744,3.226772,1.791162,0.805090,1.630108,0.682486
20,g03-0006,8.143238,1.662515,1.388595,0.694508,1.390257,0.711131
21,g03-0007,2.573617,1.143793,1.216186,0.802833,1.209690,0.804772
22,g03-0008,12.397592,2.365177,1.472892,0.966889,1.430166,0.975065
23,g03-0009,9.474110,1.595478,1.234878,0.833108,1.225170,0.810875
