,Panel,mean_error_linearized,standart_deviation_linearized
0,g01-0001,1.983411,1.749332
1,g01-0004,1.493015,1.109252
2,g01-0005,1.300356,0.827263
3,g01-0007,1.562780,0.970914
4,g01-0008,1.697159,1.391653
5,g02-0001,1.201111,0.897279
6,g02-0002,1.512549,1.086053
7,g02-0005,1.497020,1.122022
8,g02-0006,1.468325,1.033168
9,g02-0008,1.336133,0.861781
10,g02-0009,1.623009,1.375989
11,g02-0010,1.695746,1.121693
12,g02-0011,1.207591,0.786222
13,g02-0013,1.943431,1.396140
14,g02-0014,2.091098,2.115500
15,g02-0015,1.758158,1.521489
16,g03-0001,1.518608,0.915751
17,g03-0002,1.700950,1.456113
18,g03-0003,1.403769,1.009791
19,g03-0005,1.549498,1.189626
20,g03-0006,1.787988,1.241527
21,g03-0007,1.510607,1.206750
22,g03-0008,1.907063,1.657758
23,g03-0009,1.396819,0.967749
