,Panel,mean_error_sq,mean_error_cube,mean_error_quad,standart_deviation_sq,standart_deviation_cube,standart_deviation_quad
0,g01-0001,1.579869,0.338196,0.224648,1.105943,0.267684,0.157972
1,g01-0004,1.472337,0.221454,0.196903,1.185594,0.163239,0.144919
2,g01-0005,1.283290,0.417890,0.313752,0.747007,0.305155,0.265845
3,g01-0007,1.546772,0.379621,0.322932,0.984314,0.240677,0.223089
4,g01-0008,1.676983,0.244278,0.184984,1.468987,0.167450,0.109894
5,g02-0001,1.106511,0.420458,0.350773,0.677141,0.335612,0.234317
6,g02-0002,1.461646,0.255950,0.203419,1.115360,0.172133,0.123821
7,g02-0005,1.492533,0.286788,0.225274,1.097942,0.189903,0.166603
8,g02-0006,1.430234,0.216871,0.195331,1.090274,0.159924,0.145971
9,g02-0008,1.297410,0.445014,0.386896,0.804307,0.314988,0.254386
10,g02-0009,1.615581,0.242756,0.204816,1.405992,0.133158,0.097613
11,g02-0010,1.637031,0.343443,0.304854,1.136947,0.242485,0.227439
12,g02-0011,1.190879,0.432860,0.352789,0.737049,0.353853,0.285823
13,g02-0013,1.892364,0.350995,0.282421,1.412253,0.208996,0.172001
14,g02-0014,2.014407,0.245279,0.221327,1.788464,0.157032,0.130290
15,g02-0015,1.695362,0.236116,0.204744,1.492308,0.131801,0.116786
16,g03-0001,1.455588,0.471671,0.416463,0.847724,0.303268,0.292313
17,g03-0002,1.513928,0.269391,0.253881,1.228508,0.151455,0.154438
18,g03-0003,1.418508,0.349544,0.314754,1.047649,0.244313,0.179130
19,g03-0005,1.059976,0.598256,0.436612,0.648636,0.445272,0.344800
20,g03-0006,1.739823,0.336744,0.280599,1.326964,0.253255,0.187121
21,g03-0007,1.497494,0.214575,0.205760,1.256692,0.118316,0.118591
22,g03-0008,1.839961,0.246077,0.210557,1.551305,0.148644,0.132530
23,g03-0009,1.376234,0.328522,0.257970,0.968524,0.228348,0.191854
